,ScreenTimeNum,SocialMediaNum,UsageStudyNum,MorningCheckNum,StressNum,AttentionComp,ProductivityComp
ScreenTimeNum,1.0,0.4648191953563519,0.2208827121117189,0.1610494013361611,0.3325468170934749,0.01352384374055008,0.005909391844165887
SocialMediaNum,0.4648191953563519,1.0,0.35690223228348433,0.20289072332939478,0.29265831312422025,0.29467492518808724,0.20623493003065327
UsageStudyNum,0.2208827121117189,0.35690223228348433,1.0,0.09718338620691268,0.35699092041250186,0.20364851137120518,0.2449745083198765
MorningCheckNum,0.1610494013361611,0.20289072332939478,0.09718338620691268,1.0,0.1365733953483647,0.21754208863505017,0.12308165707785092
StressNum,0.3325468170934749,0.29265831312422025,0.35699092041250186,0.1365733953483647,1.0,0.2981730427683518,0.32291499543847746
AttentionComp,0.01352384374055008,0.29467492518808724,0.20364851137120518,0.21754208863505017,0.2981730427683518,1.0,0.4567443935180513
ProductivityComp,0.005909391844165887,0.20623493003065327,0.2449745083198765,0.12308165707785092,0.32291499543847746,0.4567443935180513,1.0
